date,daily_revenue
2023-03-03,262.22
2023-03-04,300.72
2023-03-05,197.18
2023-03-06,119.84
2023-03-07,291.28
2023-03-08,296.85
2023-03-09,134.56
2023-03-10,278.61
2023-03-11,300.34000000000003
2023-03-12,263.09000000000003
2023-03-13,273.12
2023-03-14,177.17000000000002
2023-03-15,448.9
2023-03-16,122.64
2023-03-17,97.32
2023-03-18,269.53
2023-03-19,74.16
2023-03-20,306.04
2023-03-21,389.8
2023-03-22,281.15
2023-03-23,123.28
2023-03-24,189.74
2023-03-25,100.07
2023-03-26,314.1
2023-03-27,140.48
2023-03-28,208.24
2023-03-29,193.85999999999999
2023-03-30,164.84
2023-03-31,157.76
2023-04-01,203.51999999999998
2023-04-02,257.31
2023-04-03,187.07999999999998
2023-04-04,221.51
2023-04-05,457.78000000000003
2023-04-06,211.58
2023-04-07,91.08
2023-04-08,411.9
2023-04-09,177.16
2023-04-10,432.69999999999993
2023-04-11,156.56
2023-04-12,397.11
2023-04-13,297.29
2023-04-14,194.67999999999998
2023-04-15,1218.63
2023-04-16,209.28
2023-04-17,1068.43
2023-04-18,212.66
2023-04-19,259.03999999999996
2023-04-20,398.21
2023-04-21,294.83000000000004
2023-04-22,226.07
2023-04-23,396.53999999999996
2023-04-24,125.4
2023-04-25,64.02000000000001
2023-04-26,798.45
2023-04-27,448.41999999999996
2023-04-28,395.03999999999996
2023-04-29,315.47
2023-04-30,155
2023-05-01,655.33
2023-05-02,244.92000000000002
2023-05-03,264.56
2023-05-04,390.11
2023-05-05,487.06
2023-05-06,188.46
2023-05-07,150.05
2023-05-08,459.54
2023-05-09,331.76
2023-05-10,316.75
2023-05-11,392.91
2023-05-12,122.2
2023-05-13,412.01
2023-05-14,556.64
2023-05-15,82.29
2023-05-16,269.25
2023-05-17,248.35999999999999
2023-05-18,568.5
2023-05-19,294.03999999999996
2023-05-20,325.84
2023-05-21,454.65999999999997
2023-05-22,324.92
2023-05-23,230.17
2023-05-24,157.51
2023-05-25,113.39
2023-05-26,248.94
2023-05-27,425.1
2023-05-28,424.85
2023-05-29,271.47
2023-05-31,314.02
2023-06-01,311.13
2023-06-02,332.52
2023-06-03,533.97
2023-06-04,880.05
2023-06-05,69.48
2023-06-06,525.19
2023-06-07,185.26
2023-06-08,450.61
2023-06-09,310.19
2023-06-10,481.28999999999996
2023-06-11,224.35
2023-06-12,194.85
2023-06-13,112.53999999999999
2023-06-14,421.96000000000004
2023-06-15,615.21
2023-06-16,185.36
2023-06-17,406.54999999999995
2023-06-18,640.3
2023-06-19,640.31
2023-06-20,221.34
2023-06-21,352.67999999999995
2023-06-22,524.9200000000001
2023-06-23,262.03999999999996
2023-06-24,391.15999999999997
2023-06-25,372.8
2023-06-26,376.78000000000003
2023-06-27,278.77
2023-06-28,194.32
2023-06-29,398.05
2023-06-30,161.26000000000002
2023-07-01,249.72
2023-07-02,314.06
2023-07-03,236.21
2023-07-04,486.2
2023-07-05,526.55
2023-07-06,202.22
2023-07-07,248.82
2023-07-08,423.7
2023-07-09,152.72
2023-07-10,333.2
2023-07-11,96.8
2023-07-12,254.56
2023-07-13,244.1
2023-07-14,144.8
2023-07-15,23.099999999999998
2023-07-16,175.91
2023-07-17,390.24
2023-07-18,270.08
2023-07-19,186.18
2023-07-20,187.08
2023-07-21,456.69
2023-07-22,245.3
2023-07-23,130.65
2023-07-24,37.989999999999995
2023-07-25,307.32
2023-07-26,275.09000000000003
2023-07-27,287.04
2023-07-28,307.88
2023-07-29,169.68
2023-07-30,189.21
2023-07-31,178.64000000000001
2023-08-01,248.1
2023-08-02,122.86000000000001
2023-08-03,81
2023-08-04,260.77
2023-08-05,185.45000000000002
2023-08-06,168.37
2023-08-07,215.42
2023-08-08,141.4
2023-08-09,281.54
2023-08-10,349.56
2023-08-11,329.07
2023-08-12,264.45
2023-08-13,213.31
2023-08-14,128.28
2023-08-15,247.25000000000003
2023-08-16,297.01
2023-08-17,246.05
2023-08-18,351.71
2023-08-19,49.67999999999999
2023-08-20,181.93
2023-08-21,127.41
2023-08-22,75.81
2023-08-23,384.78
2023-08-24,303
2023-08-25,639.24
2023-08-26,272.3
2023-08-27,205.97000000000003
2023-08-28,230.86
2023-08-29,367.95
2023-08-30,229.48000000000002
2023-08-31,77.64
2023-09-01,324.2
2023-09-02,308.65999999999997
2023-09-03,22.799999999999997
2023-09-04,355.48
2023-09-05,183.96
2023-09-06,222.05
2023-09-07,128.59
2023-09-08,367.85
2023-09-09,199.72
2023-09-10,332.59
2023-09-11,69.86
2023-09-12,231.20000000000002
2023-09-13,166.65
2023-09-14,66.39999999999999
2023-09-15,223.67
2023-09-16,574.15
2023-09-17,272.91
2023-09-18,238.41
2023-09-19,341.43
2023-09-20,286.76
2023-09-21,265.02
2023-09-22,440.27
2023-09-23,101.95
2023-09-24,227.95
2023-09-25,236.7
2023-09-26,132.89
2023-09-27,268.16
2023-09-28,79.42
2023-09-29,102
2023-09-30,197.36
2023-10-01,87.49
2023-10-02,86.65
2023-10-03,303.63
2023-10-04,104.03999999999999
2023-10-05,245.62
2023-10-06,207.14000000000001
2023-10-07,194.68
2023-10-08,126.39000000000001
2023-10-09,132.17000000000002
2023-10-10,264.85
2023-10-11,242.7
2023-10-12,320.24
2023-10-13,120.87
2023-10-14,114.66999999999999
